"","Record_No","Status","Expiration_Date","DBA","Owner / Community_Name","Location_Address","Zip_Code","Mailing_Address","County","Community_Phone","Total_#_Sites","Issued_Date","Operator_Name","Operator_Phone","Operator_email","House district","Senate district","latitude","longitude"
"1","1200324","Issued",2027-10-01,"SEAWAY TRAILER COURT","SEAWAY TRAILERS, LLC","9708 NORTH RIVER ROAD, ALGONAC, MI 48001","48001","9708 NORTH RIVER RD, ALGONAC, MI 48001","ST CLAIR","8107943382","12","03/23/1979","JOSEPHINE KELLER","8107943382",NA,"063","12",42.63870386064,-82.51526694862
"2","1202035","Issued",2027-10-01,NA,"MY PLACE AT PEARL BEACH LLC","3812 POINTE TREMBLE ROAD, ALGONAC MI 48001","48001","P.O. BOX 46399, MT. CLEMENS, MI 48046","ST CLAIR","5868848416","32","07/18/2023","CHRISTOPHER NORTLEY","5868848416","chris@myplacecommunities.com","063","12",42.619761723382,-82.560486645699
"3","1202036","Issued",2027-10-01,NA,"MY PLACE AT THORN HOLLOW LLC","9600 NOOK ROAD, ST CLAIR MI 48001","48001","P.O. BOX 46399, MT CLEMENS, MI 48046","ST CLAIR","5868848416","45","07/18/2023","CHRISTOPHER NORTLEY","5868848416","chris@myplacecommunities.com","063","12",42.620514502106,-82.55336370438
"4","1202042","Issued",2027-10-01,"CHANNEL VIEW MHC","CC CHANNEL VIEW PROPERTY LLC","5150 TAFT ROAD, ALGONAC MI 48001","48001","29200 NORTHWESTERN HWY., STE. 300, SOUTHFIELD, MI 48034","ST CLAIR","8107943110","337","08/24/2023","JEFFREY DAVIDSON","2487783198","jdavidson@cambiomhc.com","063","12",42.629062911789,-82.579255403289
"5","1200103","Expired",2024-10-01,NA,"KINGSBROOK MHC LLC","4600 N VAN DYKE, ALMONT MI 48003","48003","217 PIERCE ST STE 209, BIRMINGHAM, MI 48009","LAPEER","2483569900","233","02/01/1979","ARI DARAKJIAN","2483569900",NA,"065","24",42.926379788167,-83.053088748387
"6","1201217","Issued",2027-10-01,"HUNTERS CROSSING","SR HUNTERS CROSSING LLC","150 HUNTERS CROSSING BLVD., CAPAC, MI 48014","48014","27777 FRANKLIN RD STE 300, SOUTHFIELD, MI 48034","ST CLAIR","No Phone","114","12/27/1999","BRUCE THELEN","2482082500","LICENSING@SUNCOMMUNITIES.COM","065","25",43.00596491108,-82.926186399034
"7","1200553","Issued",2027-10-01,"CLARKSTON LAKES MOBILE HOME COMMUNITY","C LAKE CLARKSTON ASSOCIATES","4260 DOGWOOD BOULEVARD, CLARKSTON, MI 48016","48016","PO BOX 339687, FARMINGTON HILLS, MI 48333","OAKLAND","No Phone","498","05/11/1979","GARY W GRIGLAK","2488512700",NA,"066","24",42.797087545018,-83.360923141241
"8","1201132","Issued",2027-10-01,NA,"NORTHPOINTE SHORES, LLC","10431 DIXIE HWY., FAIR HAVEN, MI 48023","48023","9926 MARINE CITY HWY, CASCO TWP, MI 48064","ST CLAIR","No Phone","12","07/29/1993","WALLACE R EVANS","5865311910","INFO@NORTHPOINTESTORAGE.COM","063","12",42.687538672559,-82.705521147095
"9","1201531","Issued",2027-10-01,NA,"FSI ANCHOR BAY PROPERTY LLC","7061 BETHUY ROAD, FAIR HAVEN MI 48023","48023","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","ST CLAIR","No Phone","653","03/23/2018","JOSH SONNE","2487783200","legal@yescommunities.com","063","12",42.695628131132,-82.704993757748
"10","1201629","Issued",2027-10-01,NA,"FSI ADMIRALS COVE PROPERTY LLC","10470 DIXIE HWY, FAIR HAVEN MI 48023","48023","5050 S SYRACUSE STREET, STE. 1200, DENVER, CO 80237","ST CLAIR","No Phone","114","02/11/2019","JOSH SONNE","3034837300","businesslicensing@yescommunities.com","063","12",42.688739003003,-82.70819396838
